Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	55550	2.981822	0.000000
chr1	82571	2.082414	0.080572
chr1	88169	2.081358	0.092229
chr1	254996	3.354927	0.439456
chr1	564598	2.887498	1.478148
chr1	564621	2.885864	1.478214
chr1	565433	2.883892	1.480558
chr1	568322	2.887570	1.488889
chr1	568527	2.895420	1.489481
chr1	721290	2.655176	1.931794
chr1	723819	2.669992	1.938509
chr1	728242	2.671779	1.950319
chr1	729948	2.675202	1.954877
chr1	739010	2.677693	1.979119
chr1	740857	2.684310	1.984065
chr1	750235	1.595600	2.009238
chr1	752566	1.205854	2.012958
chr1	753269	1.205507	2.013806
chr1	753541	0.493648	2.014133
chr1	754745	0.399609	2.014728
chr1	765948	0.494327	2.019205
chr1	767038	0.493138	2.019743
chr1	767070	0.513499	2.019759
chr1	768448	0.455582	2.020467
chr1	769551	0.456521	2.020969
chr1	771521	0.458418	2.021869
chr1	774047	0.462218	2.023027
chr1	775659	0.457037	2.023772
chr1	776546	0.453806	2.024177
chr1	777122	0.453593	2.024438
chr1	777513	0.454370	2.024616
chr1	779322	0.453268	2.025438
chr1	780027	0.453415	2.025757
chr1	780785	0.453231	2.026101
chr1	784023	0.453169	2.027569
chr1	784904	0.457151	2.027968
chr1	785050	2.366093	2.028035
chr1	785989	2.904551	2.030256
chr1	792480	3.122720	2.049110
chr1	798026	4.588229	2.066428
chr1	798801	4.578148	2.069984
chr1	798959	4.370906	2.070708
chr1	799463	4.344183	2.072911
chr1	800007	4.287599	2.075274
chr1	808312	4.180096	2.110882
chr1	846864	3.187313	2.272033
chr1	882033	3.162755	2.384128
chr1	888659	2.747543	2.405084
chr1	957898	0.952858	2.595322
chr1	962210	0.517933	2.599430
chr1	982573	0.521736	2.609977
chr1	990380	0.513886	2.614050
chr1	998501	0.513754	2.618223
chr1	998874	0.510871	2.618415
chr1	1003629	0.496544	2.620844
chr1	1005806	0.407540	2.621925
chr1	1011006	0.393293	2.624044
chr1	1017170	1.250116	2.626469
chr1	1017197	1.889336	2.626502
chr1	1017216	2.173130	2.626538
chr1	1017587	1.717554	2.627345
chr1	1017598	1.341542	2.627363
chr1	1018562	1.320611	2.628657
chr1	1018704	1.310429	2.628844
chr1	1018966	1.297303	2.629188
chr1	1021346	1.851467	2.632275
chr1	1021408	1.911398	2.632390
chr1	1021415	2.349187	2.632403
chr1	1021583	2.439198	2.632798
chr1	1021658	2.635598	2.632981
chr1	1021695	2.917768	2.633078
chr1	1022037	3.303601	2.634076
chr1	1025301	3.324303	2.644859
chr1	1026707	3.304892	2.649533
chr1	1030374	2.573938	2.661652
chr1	1030565	0.660922	2.662144
chr1	1031060	0.614689	2.662471
chr1	1031540	0.280745	2.662766
chr1	1033994	0.280671	2.663455
chr1	1033999	0.280597	2.663456
chr1	1034953	0.280571	2.663724
chr1	1036959	0.261500	2.664287
chr1	1040026	0.261278	2.665089
chr1	1046164	0.261441	2.666693
chr1	1048955	0.262259	2.667422
chr1	1049950	0.263129	2.667683
chr1	1052946	0.263101	2.668472
chr1	1053452	0.262919	2.668605
chr1	1053570	0.263541	2.668636
chr1	1060235	0.579117	2.670392
chr1	1060608	0.939437	2.670608
chr1	1061115	1.029868	2.671085
chr1	1061152	1.097144	2.671123
chr1	1061166	1.164451	2.671138
chr1	1062015	1.949239	2.672127
chr1	1062638	3.111017	2.673341
chr1	1063145	3.111201	2.674918
chr1	1064535	3.117384	2.679243
chr1	1064979	3.112779	2.680627
